id;req_date;part_code;part_name;qty;job_code;job_id;repairer_id;department_id;created_by;source;created_at;updated_at
dab399f7-b745-4380-bff6-209118d49468;2026-07-10;0401E4-00026/001;ปลั๊กตัวผู้แบบยาง 3ขา;1;260709001;;;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;9b15b405-4695-46a4-b384-ee5feb992a7c;leader;2026-07-11 04:02:04.568673+00;2026-07-11 04:02:04.568673+00
530fde96-d38d-4ff7-bea6-a5850ab8f0ab;2026-07-11;0401E6-00013	015;หลอดไฟ Shining นีออน LED Tube T8;1หลอด;260710003;18206b7f-f359-4669-b0f2-a7736b56a4aa;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;755d8bf8-abaf-4e67-8c66-c04dab7755d0;2600fa0f-deae-4983-a9a4-a6253f0f8ad0;repairer;2026-07-11 07:09:16.027297+00;2026-07-11 07:09:16.027297+00
4a31b35a-b3c7-4aca-ace7-12c8338822ce;2026-07-11;0401E4-00026/001;ปลั๊กตัวผู้แบบยาง 3ขา;1ตัว;260709001;7b4ac2ff-17cb-4639-b9f6-203d6d67cc1f;aee8cef8-8534-459f-94b8-9de40933bee7;dd98b2b3-c0ed-48b6-b3f4-139b89c539c7;aee8cef8-8534-459f-94b8-9de40933bee7;repairer;2026-07-11 09:10:45.825185+00;2026-07-11 09:10:45.825185+00
bdc92c4c-b01d-435f-9db3-9b732cf98a4c;2026-07-14;0401E7-00503/001;pin เสียบถ่างM2*32;20;260713005;;;72e122e2-76e3-44aa-a586-0a3f86291d77;618867a9-9f7c-4e77-96cd-3c6be6f2a0ac;leader;2026-07-14 04:29:14.636803+00;2026-07-14 04:29:14.636803+00
56aa8c70-94ff-4400-9ed1-d22cf6431404;2026-07-14;0401E8-00163/001;เทปฟรอยอลูมิเนียมขนาด 2 ิ้ว;3;260713005;;;72e122e2-76e3-44aa-a586-0a3f86291d77;618867a9-9f7c-4e77-96cd-3c6be6f2a0ac;leader;2026-07-14 04:30:26.79058+00;2026-07-14 04:30:26.79058+00
41fd0462-494a-4c03-811f-7d6db07cd0b2;2026-07-14;0401E2-00023/001;ตลับลูกปืน UCP 207;1;260713005;;;72e122e2-76e3-44aa-a586-0a3f86291d77;618867a9-9f7c-4e77-96cd-3c6be6f2a0ac;leader;2026-07-14 04:33:01.365529+00;2026-07-14 04:33:01.365529+00
4f78ea44-61be-4941-97b5-a31758104154;2026-07-15;0401E2-00089    003;ตลับลูกปืน 6309 Z/C3 SKF;2;260714001;2de10710-c2ec-4867-841f-e782bca43c75;14a61d91-95ef-411a-b313-dae02e0f86a9;72e122e2-76e3-44aa-a586-0a3f86291d77;14a61d91-95ef-411a-b313-dae02e0f86a9;repairer;2026-07-15 08:41:27.387909+00;2026-07-15 08:41:27.387909+00
3c90dd7b-3d6b-4aed-80fc-43570599d117;2026-07-16;99EXP-00265/003;ยางหลังใหม่ยางตัน600-9ยี้ห้อKomachi;2;260703006;b7da84b1-8f55-4095-b21d-5689fe9fdc45;6fff3037-214c-4188-8332-997730090207;755d8bf8-abaf-4e67-8c66-c04dab7755d0;6fff3037-214c-4188-8332-997730090207;repairer;2026-07-16 02:40:48.03466+00;2026-07-16 02:40:48.03466+00
cc058911-b199-42e4-ac72-cde26df1643c;2026-07-16;99EXP-00265/004;ค่าบริการเปลี่ยนยางหลัง​ 2​ เส้น;1;260703006;b7da84b1-8f55-4095-b21d-5689fe9fdc45;6fff3037-214c-4188-8332-997730090207;755d8bf8-abaf-4e67-8c66-c04dab7755d0;6fff3037-214c-4188-8332-997730090207;repairer;2026-07-16 02:40:48.03466+00;2026-07-16 02:40:48.03466+00
b0631d28-1215-446f-a508-8d810e8f8f8f;2026-07-16;99EXP-00265/010;ยางหลังใหม่ยางตันยี้ห้อKomachi;2;260703006;;;755d8bf8-abaf-4e67-8c66-c04dab7755d0;0c4b9136-172d-4a37-82e6-5ee810cf0fe9;leader;2026-07-16 03:43:28.189131+00;2026-07-16 03:43:28.189131+00
